alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.2,0.75,1,250000,0.134992,0.17983,0.139033,0.0936844,0.200216,0,0.140975,0.11127,800,false
0.2,0.75,1,250000,0.134242,0.197564,0.128453,0.0974156,0.193239,0,0.134766,0.11432,800,false
0.5,0.75,1,500000,0,0.249345,0,0.251661,0,0.253652,0,0.245342,800,false
0.55,0.75,1,1000,0,0.245577,0,0.245677,0.000384375,0.260158,0.00118125,0.247023,800,false
0.55,0.75,1,10000,0,0.262844,0,0.248098,0,0.236809,0,0.252248,800,false
0.5,0.75,1,500000,0,0.250558,0,0.242489,0,0.252509,0,0.254444,800,false
0.55,0.75,1,1000,0,0.250877,0.000159375,0.24202,0.0010375,0.246119,0.00088125,0.258906,800,false
0.55,0.75,1,10000,0,0.250948,0,0.254887,0,0.247119,0,0.247045,800,false
0.55,0.75,1,50000,0,0.251639,0,0.252958,0,0.248083,0,0.24732,800,false
0.55,0.75,1,50000,0,0.251177,0,0.252245,0,0.246127,0,0.250452,800,false
0.55,0.75,1,100000,0,0.24625,0,0.251353,0,0.246236,0,0.256161,800,false
0.2,0.75,1,500000,0.132827,0.174692,0.145913,0.0853625,0.191369,0,0.159333,0.110505,800,false
0.25,0.75,1,1000,0.118673,0.189948,0.118739,0.0923516,0.175712,0.0249625,0.140583,0.13903,800,false
0.25,0.75,1,10000,0.124186,0.180652,0.134389,0.0887203,0.205781,0,0.15692,0.109352,800,false
0.55,0.75,1,100000,0,0.245448,0,0.255,0,0.248733,0,0.250819,800,false
0.2,0.75,1,500000,0.135645,0.186442,0.151192,0.0809141,0.184789,0,0.152787,0.10823,800,false
0.25,0.75,1,1000,0.105153,0.2047,0.112069,0.117402,0.148656,0.0443641,0.12502,0.142636,800,false
0.25,0.75,1,10000,0.116853,0.19592,0.141187,0.0741109,0.203091,0,0.159277,0.109561,800,false
0.25,0.75,1,50000,0.119645,0.196198,0.1381,0.0836812,0.219867,0,0.143905,0.0986031,800,false
0.25,0.75,1,50000,0.12388,0.190052,0.131461,0.0856094,0.196561,0,0.151775,0.120663,800,false
0.25,0.75,1,100000,0.128541,0.201856,0.127331,0.0806453,0.194831,0,0.153178,0.113617,800,false
0.25,0.75,1,100000,0.121922,0.204973,0.124734,0.0843062,0.201055,0,0.151895,0.111114,800,false
0.55,0.75,1,250000,0,0.250703,0,0.251661,0,0.250778,0,0.246858,800,false
