alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.25,0.75,1,2000,0.11513,0.204992,0.122795,0.0844906,0.18015,0.0142281,0.15143,0.126784,800,0
0.25,0.75,1,3000,0.118688,0.20045,0.130864,0.0830812,0.192256,0.00404219,0.154606,0.116013,800,0
0.25,0.75,1,5000,0.129948,0.199036,0.134748,0.0890016,0.195339,0,0.14105,0.110877,800,0
0.25,0.75,1,7000,0.120216,0.206925,0.126192,0.0793172,0.204937,0,0.148359,0.114053,800,0
0.25,0.75,1,10000,0.11903,0.205402,0.123936,0.0892203,0.194769,0,0.149339,0.118305,800,0
0.25,0.75,1,25000,0.116572,0.197334,0.139383,0.0831406,0.185317,0,0.153203,0.12505,800,0
0.25,0.75,1,50000,0.122625,0.201119,0.1346,0.0852234,0.193497,0,0.149522,0.113414,800,0
0.2,0.75,1,1000,0.110583,0.185033,0.129077,0.108252,0.156889,0.0357766,0.139034,0.135356,800,0
0.2,0.75,1,2000,0.128419,0.177797,0.139309,0.0903703,0.187931,0.00442031,0.156931,0.114822,800,0
0.2,0.75,1,3000,0.13405,0.189575,0.131844,0.0882453,0.195698,0.00147188,0.144189,0.114927,800,0
0.2,0.75,1,5000,0.121919,0.184438,0.133592,0.0897328,0.212097,0,0.152695,0.105527,800,0
0.2,0.75,1,7000,0.133761,0.193614,0.136694,0.0863047,0.198752,0,0.144242,0.106633,800,0
0.2,0.75,1,10000,0.136136,0.185161,0.13635,0.0910203,0.205922,0,0.138445,0.106966,800,0
0.2,0.75,1,25000,0.1319,0.185963,0.139455,0.0800172,0.18902,0,0.155291,0.118355,800,0
0.2,0.75,1,50000,0.13145,0.19177,0.140916,0.0795125,0.186642,0,0.15772,0.111989,800,0
0.3,0.75,1,1000,0.0927594,0.215122,0.104516,0.107755,0.17743,0.0369078,0.122153,0.143358,800,0
0.3,0.75,1,2000,0.108934,0.208877,0.12083,0.0888875,0.18507,0.0170297,0.14842,0.121952,800,0
0.3,0.75,1,3000,0.103745,0.211869,0.123447,0.0769937,0.206828,0.008525,0.153395,0.115197,800,0
